crop_type,soil_type,rainfall_mm,temperature_c,fertilizer_kg,area_hectares,yield_tons
Rice,Clay,1200,28,150,3,8.5
Rice,Loamy,1100,27,140,2,7.8
Rice,Black,1300,29,160,4,9.2
Wheat,Sandy,400,18,120,2,5.4
Wheat,Loamy,450,17,130,3,6.1
Wheat,Clay,420,19,125,2,5.8
Maize,Loamy,700,25,100,2,6.8
Maize,Sandy,650,24,90,1,5.2
Maize,Black,750,26,110,3,7.4
Cotton,Black,800,32,200,4,10.2
Cotton,Sandy,750,31,180,3,8.9
Cotton,Loamy,820,33,210,5,11.1
Sugarcane,Black,1400,30,250,5,12.5
Sugarcane,Loamy,1350,29,240,4,11.8
Sugarcane,Clay,1450,31,260,6,13.2
Rice,Sandy,1000,26,130,2,6.9
Wheat,Black,480,20,140,3,6.5
Maize,Clay,720,27,105,2,7.1
Cotton,Clay,790,32,195,4,9.8
Sugarcane,Sandy,1300,28,230,4,10.9
Rice,Clay,1150,28,145,3,8.1
Wheat,Loamy,430,18,128,2,5.9
Maize,Sandy,680,25,95,1,5.5
Cotton,Black,810,33,205,5,10.8
Sugarcane,Loamy,1380,30,245,5,12.1
Rice,Black,1250,29,155,4,8.9
Wheat,Sandy,410,17,122,2,5.5
Maize,Loamy,710,26,102,2,7.0
Cotton,Sandy,760,31,185,3,9.2
Sugarcane,Black,1420,31,255,6,12.8
Rice,Loamy,1080,27,138,2,7.5
Wheat,Clay,440,19,127,3,6.0
Maize,Black,740,26,108,3,7.3
Cotton,Loamy,800,32,200,4,10.5
Sugarcane,Clay,1440,30,258,6,13.0
Rice,Sandy,980,25,128,2,6.7
Wheat,Black,470,20,138,3,6.3
Maize,Clay,700,25,100,2,6.9
Cotton,Clay,780,31,192,4,9.6
Sugarcane,Sandy,1280,28,225,4,10.6
